Cat In Field
154|C|78
159|H|952
160|X|1131
161|L|1173
164|U|548
310|I|254
336|2|258
402|A|86
445|‡|219
600|5|70
603|R|554
605|&|1187
700|S|782
701|F|280
702|P|516
703|G|512
704|D|320
739|%|271
745|$|265
762|b|657
793|N|114
798|8|27
800|d|733
819|#|898
823|7|200
890|T|880
905|J|117
906|W|377
915|Z|86
930|3|723
963|£|540
986|4|237
989|B|274
995|6|14
3345|9|118
3348|¶|202
3354|Y|153
3608|E|634
3609|V|667
3721|K|168
3805|O|394
3823|¥|354
3865|€|1020
5200|+|157
